cluster_id,number_of_nodes
1,89
2,72
3,192
4,126
5,234
6,334
7,217
8,137
9,85
10,65
11,53
12,125
13,209
14,120
15,14
16,210
17,183
18,271
19,880
20,205
21,75
22,304
23,238
24,150
25,69
26,123
27,137
28,356
29,43
30,82
31,119
32,163
33,136
34,243
35,157
36,103
37,21
38,71
39,66
40,117
41,132
42,85
43,105
44,82
45,45
46,78
47,18
48,359
49,104
50,95
51,204
52,313
53,335
54,118
55,142
56,256
57,195
58,169
59,47
60,158
61,124
62,89
63,488
64,63
65,304
66,376
67,77
68,132
69,99
70,105
71,16
72,137
73,71
74,67
75,132
76,349
77,56
78,74
79,241
80,78
81,73
82,81
83,127
84,41
85,9
86,104
87,27
88,105
89,24
90,205
91,81
92,50
93,154
94,208
95,42
96,10
97,22
98,57
99,51
100,89
101,44
102,48
103,38
104,189
105,68
106,22
107,57
108,28
109,123
110,55
111,47
112,8
113,17
114,17
115,26
116,48
117,27
118,54
119,8
120,73
121,14
122,22
123,11
124,40
125,36
126,64
127,11
128,21
129,54
130,20
131,11
132,15
133,60
134,47
135,59
136,48
137,55
138,57
139,16
140,50
141,22
142,66
143,52
144,11
145,7
146,15
147,6
148,40
149,91
150,36
151,22
152,39
153,18
154,10
155,11
156,18
157,8
158,29
159,12
160,9
161,6
162,6
163,9
164,7
165,9
166,5
167,4
168,8
